SO,Fase,Variable_o_Escenario,Valor_o_Latencia,Jitter_ms,Perdida_pct,TLS,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
macOS,Parametro,Latencia,50,0,0,tls12,32,0.063767,0.227708,163.941,0.492918,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,33,0.064389,0.221223,156.834,0.677333,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,34,0.089752,0.246125,156.373,0.617621,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,35,0.061536,0.296652,235.116,0.628991,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,36,0.150267,0.349094,198.827,0.723319,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,37,0.110254,0.268743,158.489,0.652229,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,38,0.062311,0.268175,205.864,0.648165,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,39,0.118793,0.709821,591.028,1.173843,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,40,0.132901,0.288617,155.716,0.655922,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,41,0.063272,0.290294,227.022,0.61762,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,42,0.151311,0.354172,202.861,0.736388,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,43,0.114904,0.267332,152.428,0.646831,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,44,0.064947,0.29195,227.003,0.615946,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,45,0.152272,0.351844,199.572,0.727093,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,46,0.101753,0.254937,153.184,0.626549,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,47,0.062509,0.286342,223.833,0.678051,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,48,0.095881,0.287608,191.727,0.822962,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,49,0.060863,0.287905,227.042,0.611931,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,50,0.061382,0.261275,199.893,0.587032,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,1,0.117301,0.373491,256.19,0.906918,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,2,0.149511,0.474696,325.185,1.017634,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,3,0.135198,0.463302,328.104,0.992508,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,4,0.115518,0.37201,256.492,0.808199,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,5,0.177533,0.431148,253.615,1.02571,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,6,0.164954,0.504518,339.564,1.062058,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,7,0.111984,0.446685,334.701,1.157631,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,8,0.167541,0.495848,328.307,1.085445,200,OK
